113.9537	-14.6989	341.6440	20.7404	5217	5217
90.1883	-65.9294	286.4242	11.3525	6635	6635
110.7364	-28.5216	326.5967	19.8112	5236	5236
91.6304	-64.8490	287.6330	11.7056	5708	5708
99.8856	-55.6150	297.5763	14.5214	9116	9116
113.9198	-15.0081	341.3138	20.7037	5566	5566
97.2982	-59.1783	293.7790	13.4913	7501	7501
305.4404	-36.0865	215.6465	-13.3484	7747	7747
326.3424	-67.7179	247.9834	-2.4694	6148	6148
110.7051	-28.8761	326.2314	19.7201	9987	9987
337.9480	-72.9944	254.1091	-0.1774	3101	3101
322.4580	-65.0023	245.0554	-3.5845	8537	8537
108.9495	-35.1595	319.4500	18.8656	7829	7829
107.9044	-38.6071	315.7623	18.2623	8246	8246
109.5723	-33.1656	321.6093	19.1345	8882	8882
109.6144	-33.1567	321.6318	19.1049	9023	9023
325.7098	-67.4769	247.7026	-2.6631	5849	5849
65.4148	-75.8090	274.3897	7.1783	7833	7833
359.0724	-77.3427	260.5776	2.1480	6892	6892
109.8034	-32.6699	322.1728	19.1338	7076	7076
99.9882	-56.1104	297.1942	14.1873	9053	9053
100.0163	-56.0729	297.2350	14.1962	9194	9194
101.0042	-54.4672	298.9282	14.6504	5382	5382
104.5393	-47.9631	305.8691	16.2047	5510	5510
111.3372	-27.2149	328.0930	19.7297	5218	5218
104.5750	-47.9682	305.8767	16.1813	5400	5400
110.5883	-30.2364	324.8355	19.3594	5129	5129
110.6036	-30.2306	324.8460	19.3489	4948	4948
103.8204	-49.6640	304.0913	15.7615	9238	9238
108.4042	-37.9792	316.5341	18.1600	4538	4538
109.4220	-34.6392	320.1137	18.7043	7853	7853
108.4263	-37.9715	316.5489	18.1471	4503	4503
107.9076	-39.8029	314.6190	17.7643	6867	6867
104.5458	-48.5697	305.3227	15.9008	8023	8023
104.8249	-48.1650	305.7839	15.9392	5675	5675
100.2750	-56.6059	296.8726	13.7708	8725	8725
109.7000	-34.4015	320.4366	18.5803	7773	7773
99.8406	-57.3058	296.1448	13.5565	7767	7767
120.1551	14.6506	13.3827	18.2061	2640	2772
94.3250	-63.8354	289.2036	11.5575	6563	6563
106.3925	-44.6552	309.5374	16.6508	6539	6539
103.0074	-52.2379	301.5739	14.8597	5670	5670
305.4554	-36.5432	216.1151	-13.3208	1801	1602
107.2379	-42.4960	311.8416	17.0688	8039	8039
94.5419	-63.7644	289.3228	11.5339	6298	6298
355.6832	-77.3900	260.1332	1.5527	6797	6797
107.3199	-42.5274	311.8397	17.0007	8051	8051
100.6018	-56.5463	297.0294	13.6579	8812	8812
96.2200	-62.2505	290.9999	11.9525	7372	7372
110.8970	-30.7007	324.4688	18.9514	4977	4977
108.3641	-39.5418	315.0212	17.5525	6763	6763
109.3428	-36.4198	318.3521	18.0872	7923	7923
100.3726	-57.1255	296.4680	13.4271	8126	8126
106.4060	-45.1736	309.0612	16.4049	1200	918
101.6640	-55.1703	298.5455	13.9424	6311	6311
110.0218	-34.3153	320.6245	18.3653	7864	7864
90.4633	-67.4904	285.4089	10.1468	5476	5476
108.8702	-38.3613	316.3208	17.6710	7403	7403
106.1987	-46.0991	308.1366	16.1057	1026	1044
106.5862	-45.1601	309.1344	16.2981	6562	6562
102.8073	-53.5214	300.3453	14.2831	5369	5369
78.7753	-73.3301	278.6802	7.9258	5901	5901
108.2260	-40.7625	313.8115	17.1428	2470	2206
102.8851	-53.6400	300.2674	14.1806	6328	6328
79.4402	-73.2667	278.8779	7.8788	7360	7360
104.5534	-50.3880	303.6906	14.9892	8023	8023
108.8712	-38.9914	315.7158	17.4177	4606	4606
